Time,s1,s2,s3
"01/11/2022,13:17:26",0.132,0.0,251643.0
"01/11/2022,13:17:27",0.134,0.0,3203510.0
"01/11/2022,13:17:28",0.134,0.0,287397.0
"01/11/2022,13:17:29",0.134,0.0,238944.0
"01/11/2022,13:17:30",0.134,0.0,245880.0
"01/11/2022,13:17:31",0.134,0.0,234170.0
"01/11/2022,13:17:32",0.134,0.0,255797.0
"01/11/2022,13:17:33",0.134,0.0,244002.0
"01/11/2022,13:17:34",0.066,0.0,514385.0
"01/11/2022,13:17:35",0.132,0.0,270883.0
"01/11/2022,13:17:36",0.134,0.0,249887.0
"01/11/2022,13:17:37",0.066,0.0,3201940.0
"01/11/2022,13:17:38",0.132,0.0,280638.0
"01/11/2022,13:17:39",0.202,0.0,3231740.0
"01/11/2022,13:17:40",0.068,0.0,223158.0
"01/11/2022,13:17:41",0.134,0.0,242568.0
"01/11/2022,13:17:42",0.132,0.0,221907.0
"01/11/2022,13:17:43",0.134,0.0,248537.0
"01/11/2022,13:17:44",0.134,0.0,223433.0
"01/11/2022,13:17:45",0.136,0.0,247310.0
"01/11/2022,13:17:46",0.132,0.0,224771.0
"01/11/2022,13:17:47",0.134,0.0,223668.0
"01/11/2022,13:17:48",0.134,0.0,240044.0
"01/11/2022,13:17:49",0.066,0.0,3221290.0
"01/11/2022,13:17:50",0.134,0.0,235606.0
"01/11/2022,13:17:51",0.134,0.0,3202800.0
"01/11/2022,13:17:52",0.066,0.0,244192.0
"01/11/2022,13:17:53",0.134,0.0,231729.0
"01/11/2022,13:17:54",0.134,0.0,251450.0
"01/11/2022,13:17:55",0.134,0.0,219342.0
"01/11/2022,13:17:56",0.132,0.0,241032.0
"01/11/2022,13:17:57",0.136,0.0,219744.0
"01/11/2022,13:17:58",0.134,0.0,232511.0
"01/11/2022,13:18:00",0.134,0.0,237811.0
"01/11/2022,13:18:01",0.132,0.0,226034.0
"01/11/2022,13:18:02",0.132,0.0,3220170.0
"01/11/2022,13:18:03",0.134,0.0,228654.0
"01/11/2022,13:18:04",0.134,0.0,3227830.0
"01/11/2022,13:18:05",0.066,0.0,256906.0
"01/11/2022,13:18:06",0.134,0.0,216462.0
"01/11/2022,13:18:07",0.134,0.0,238240.0
"01/11/2022,13:18:08",0.202,0.0,233821.0
